,run,wafer,site,value
797,13,6,site5,440.13
798,14,1,site5,442.38
799,14,2,site5,455.33
800,14,3,site5,430.27
801,14,4,site5,437.54
802,14,5,site5,449.57
803,14,6,site5,428.57
804,15,1,site5,447.37
805,15,2,site5,424.17
806,15,3,site5,431.23
807,15,4,site5,439.42
808,15,5,site5,419.38
809,15,6,site5,430.38
810,16,1,site5,408.77
811,16,2,site5,441.84
812,16,3,site5,454.47
813,16,4,site5,426.97
814,16,5,site5,437.39
815,16,6,site5,439.44
816,17,1,site5,448.17
817,17,2,site5,466.39
818,17,3,site5,435.37
819,17,4,site5,444.32
820,17,5,site5,467.12
821,17,6,site5,438.81
822,18,1,site5,452.57
823,18,2,site5,419.82
824,18,3,site5,429.77
825,18,4,site5,435.76
826,18,5,site5,415.78
827,18,6,site5,430.57
828,19,1,site5,442.63
829,19,2,site5,464.88
830,19,3,site5,432.5
831,19,4,site5,439.44
832,19,5,site5,456.44
833,19,6,site5,432.38
834,20,1,site5,448.35
835,20,2,site5,423.85
836,20,3,site5,430.99
837,20,4,site5,439.88
838,20,5,site5,419.84
839,20,6,site5,428.99
840,21,1,site5,419.21
841,21,2,site5,441.01
842,21,3,site5,446.05
843,21,4,site5,417.78
844,21,5,site5,427.9
845,21,6,site5,437.15
846,22,1,site5,416.84
847,22,2,site5,436.45
848,22,3,site5,444.14
849,22,4,site5,418.84
850,22,5,site5,428.63
851,22,6,site5,437.84
852,23,1,site5,434.4
853,23,2,site5,447.35
854,23,3,site5,422.29
855,23,4,site5,429.56
856,23,5,site5,441.59
857,23,6,site5,420.59
858,24,1,site5,415.59
859,24,2,site5,435.03
860,24,3,site5,444.21
861,24,4,site5,415.97
862,24,5,site5,428.34
863,24,6,site5,435.95
864,25,1,site5,419.56
865,25,2,site5,435.88
866,25,3,site5,443.79
867,25,4,site5,415.21
868,25,5,site5,428.56
869,25,6,site5,437.09
870,26,1,site5,431.84
871,26,2,site5,444.15
872,26,3,site5,419.53
873,26,4,site5,428.55
874,26,5,site5,441.06
875,26,6,site5,423.49
876,27,1,site5,451.04
877,27,2,site5,421.09
878,27,3,site5,432.9
879,27,4,site5,425.79
880,27,5,site5,419.96
881,27,6,site5,433.61
882,28,1,site5,421.16
883,28,2,site5,437.39
884,28,3,site5,443.2
885,28,4,site5,417.3
886,28,5,site5,429.1
887,28,6,site5,436.93
888,29,1,site5,434.74
889,29,2,site5,442.64
890,29,3,site5,417.79
891,29,4,site5,428.21
892,29,5,site5,439.65
893,29,6,site5,420.39
894,30,1,site5,431.08
895,30,2,site5,420.97
896,30,3,site5,440.4
897,30,4,site5,433.84
898,30,5,site5,423.78
899,30,6,site5,456.41
900,1,1,site6,424.45
901,1,2,site6,416.36
